Timestamp,datetime,symbol,high,low,open,close,volume,Date,Time,High,Low,Open,Close,TotalVolume
1537883340,2018-09-25 21:49:00,EOSUSDT,5.2054,5.2027,5.204,5.2031,17020.16,2018-09-25,21:49:00,5.2054,5.2027,5.204,5.2031,1702016
1537883400,2018-09-25 21:50:00,EOSUSDT,5.205,5.1986,5.205,5.2049,12657.37,2018-09-25,21:50:00,5.205,5.1986,5.205,5.2049,1265737
1537883460,2018-09-25 21:51:00,EOSUSDT,5.2044,5.198,5.2044,5.198,12915.12,2018-09-25,21:51:00,5.2044,5.198,5.2044,5.198,1291512
1537883520,2018-09-25 21:52:00,EOSUSDT,5.1995,5.1901,5.1995,5.1917,6831.63,2018-09-25,21:52:00,5.1995,5.1901,5.1995,5.1917,683163
1537883580,2018-09-25 21:53:00,EOSUSDT,5.1901,5.18,5.1901,5.1852,4499.76,2018-09-25,21:53:00,5.1901,5.18,5.1901,5.1852,449976
1537883640,2018-09-25 21:54:00,EOSUSDT,5.1918,5.183,5.1835,5.183,8012.42,2018-09-25,21:54:00,5.1918,5.183,5.1835,5.183,801242
1537883700,2018-09-25 21:55:00,EOSUSDT,5.1845,5.1761,5.1845,5.1787,5954.63,2018-09-25,21:55:00,5.1845,5.1761,5.1845,5.1787,595463
1537883760,2018-09-25 21:56:00,EOSUSDT,5.1809,5.1771,5.1809,5.1787,2231.29,2018-09-25,21:56:00,5.1809,5.1771,5.1809,5.1787,223129
1537883820,2018-09-25 21:57:00,EOSUSDT,5.1898,5.1764,5.1784,5.1868,15354.85,2018-09-25,21:57:00,5.1898,5.1764,5.1784,5.1868,1535485
1537883880,2018-09-25 21:58:00,EOSUSDT,5.1851,5.1777,5.1851,5.1777,229.4,2018-09-25,21:58:00,5.1851,5.1777,5.1851,5.1777,22940
1537883940,2018-09-25 21:59:00,EOSUSDT,5.1846,5.1791,5.1792,5.1839,1177.12,2018-09-25,21:59:00,5.1846,5.1791,5.1792,5.1839,117711
1537884000,2018-09-25 22:00:00,EOSUSDT,5.1853,5.1772,5.1843,5.1786,4638.31,2018-09-25,22:00:00,5.1853,5.1772,5.1843,5.1786,463831
1537884060,2018-09-25 22:01:00,EOSUSDT,5.1838,5.1728,5.1778,5.1749,8017.14,2018-09-25,22:01:00,5.1838,5.1728,5.1778,5.1749,801714
1537884120,2018-09-25 22:02:00,EOSUSDT,5.1749,5.171,5.1729,5.1748,12687.13,2018-09-25,22:02:00,5.1749,5.171,5.1729,5.1748,1268713
1537884180,2018-09-25 22:03:00,EOSUSDT,5.1748,5.1534,5.1728,5.1568,17094.15,2018-09-25,22:03:00,5.1748,5.1534,5.1728,5.1568,1709415
1537884240,2018-09-25 22:04:00,EOSUSDT,5.1699,5.1545,5.1584,5.1643,9391.51,2018-09-25,22:04:00,5.1699,5.1545,5.1584,5.1643,939151
